大标题,采购项目名称,品目,采购单位,行政区域,公告时间,获取招标文件时间,招标文件售价,获取招标文件的地点,开标时间,开标地点,预算金额,项目联系人,项目联系电话,采购单位地址,采购单位联系方式,代理机构名称,代理机构地址,代理机构联系方式,附件1,附件2
浙江大学高性能计算集群公开招标公告,高性能计算集群,货物/通用设备/计算机设备及软件/其他计算机设备及软件,浙江大学,浙江省,2022年01月21日  09:27,"2022年01月21日至2022年01月28日, 每日上午:8:30 至 11:30  下午:13:00 至 17:00（北京时间，法定节假日除外）",￥500,浙江求是招标代理有限公司（杭州市西湖区玉古路173号中田大厦11楼H室）,2022年02月15日  09:00,杭州市西湖区玉古路173号中田大厦16楼求是招标6号会议室,￥550.000000万元（人民币）,陈宵,0571-87666119,杭州市西湖区余杭塘路866号,"岑建孟,13758227650",浙江求是招标代理有限公司,杭州市西湖区玉古路173号中田大厦11楼,"陈宵,0571-87666119",A22020(GK) 浙江大学 高性能计算集群需求.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543109.htm,微信报名文件获取函.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543109.htm
浙江大学海宁国际校区1A楼二楼—先进光子学二楼工程公开招标公告,浙江大学海宁国际校区1A楼二楼—先进光子学二楼工程,工程/装修工程,浙江大学,海宁市,2022年01月25日  15:29,"2022年01月25日至2022年01月30日, 每日上午:8:00 至 14:00  下午:12:00 至 21:00（北京时间，法定节假日除外）",￥500,浙江国际招投标有限公司317室（杭州市文三路90号东部软件园1号楼3楼317室）,2022年02月15日  09:30,浙江国际招投标有限公司301开标室（杭州市文三路90号东部软件园1号楼3楼301室）,￥260.000000万元（人民币）,谢凯枫,0571-89731841,浙江省杭州市西湖区余杭塘路866号,俞老师 15005836761,浙江国际招投标有限公司,浙江省杭州市西湖区文三路90号东部软件园1号楼3楼317室,谢凯枫0571-89731841,报名表.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220125_17555207.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220125_17555207.htm
厦门大学智慧物联固定资产盘点系统（重新招标）公开招标公告,厦门大学智慧物联固定资产盘点系统,服务/信息技术服务/软件开发服务/应用软件开发服务/行业应用软件开发服务,厦门大学,厦门市,2022年01月25日  15:35,"2022年01月26日至2022年01月30日, 每日上午:9:00 至 11:30  下午:14:30 至 17:30（北京时间，法定节假日除外）",￥0,网页免费下载：https://ztbzx.xmu.edu.cn/info/1172/5665.htm,2022年02月18日  09:00,厦门市思明南路422号厦门大学颂恩楼615会议室,￥268.000000万元（人民币）,谭老师,0592-2181800,厦门市思明南路422号厦门大学颂恩楼713,林老师    电话：0592-2189925 ,详见公告正文,详见公告正文,详见公告正文,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220125_17555274.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220125_17555274.htm
长春净月高新技术产业开发区消防救援大队农副产品配送项目公开招标公告,长春净月高新技术产业开发区消防救援大队农副产品配送项目,货物/食品、饮料和烟草原料/农副食品，动、植物油制品/其他农副食品,长春净月高新技术产业开发区消防救援大队,长春市,2022年01月25日  15:39,"2022年01月26日至2022年01月30日, 每日上午:8:30 至 12:30  下午:13:00 至 16:00（北京时间，法定节假日除外）",￥0,中洺威项目管理咨询有限公司,2022年02月16日  10:00,中洺威项目管理咨询有限公司,￥120.000000万元（人民币）,所丽娜,13624461232,长春市净月区聚业大街与金桔路交汇,王惠15143099568,中洺威项目管理咨询有限公司,长春市人民大街4111号兆丰国际大厦1208室,所丽娜13624461232,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220125_17555091.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220125_17555091.htm
厦门大学实验动物中心全新风溶液调湿空调机组更换公开招标公告,厦门大学实验动物中心全新风溶液调湿空调机组更换,货物/通用设备/机械设备/制冷空调设备/空调机组,厦门大学,厦门市,2022年01月25日  15:50,"2022年01月26日至2022年01月30日, 每日上午:8:00 至 11:30  下午:14:30 至 18:00（北京时间，法定节假日除外）",￥0,网页免费下载：https://ztbzx.xmu.edu.cn/info/1172/5666.htm,2022年02月18日  09:00,厦门市思明南路422号厦门大学颂恩楼714会议室,￥1116.000000万元（人民币）,高老师,13950086133,厦门市思明南路422号厦门大学颂恩楼713,秦老师  电话：0592-2189920,详见公告正文,详见公告正文,详见公告正文,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220125_17555447.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220125_17555447.htm
中国信息通信研究院工业互联网平台架构及系统建设研究（后补助）-工业互联网平台演示验证系统项目公开招标公告,中国信息通信研究院工业互联网平台架构及系统建设研究（后补助）-工业互联网平台演示验证系统项目,服务/信息技术服务/软件开发服务/应用软件开发服务/行业应用软件开发服务,中国信息通信研究院,北京市,2022年01月20日  20:51,"2022年01月20日至2022年01月27日, 每日上午:9:00 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥800,中国机械进出口（集团）有限公司（北京市西城区阜成门外大街一号四川大厦西楼）2102B房间,2022年02月14日  09:30,中国机械进出口（集团）有限公司2802会议室（北京市西城区阜外大街1号四川大厦西楼）,￥15.000000万元（人民币）,李晓白,010-86433019,北京市海淀区花园北路52号,葛晓菲；gexiaofei@caict.ac.cn,中国机械进出口(集团)有限公司,北京市西城区阜外大街一号四川大厦西楼,田嘉、李晓白010-68991564、86433019,购买招标文件采购文件登记表（国内标）.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17542603.htm,7N11技术需求.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220120_17542603.htm
四川省地震局地震预警中心数据处理系统硬件平台改扩建采购项目招标公告,四川省地震局地震预警中心数据处理系统硬件平台改扩建采购项目,,四川省地震局,成都市,2022年01月21日  09:17,"2022年01月12日至2022年02月10日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月11日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥650.760000万元（人民币）,徐婧婧,010-83084953,四川省成都市武侯区人民南路三段二十九号,028-85436635,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17542981.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17542981.htm
吉林省地震局一带一路地震监测台网项目火山台阵分系统——火山次声监测系统（浅井式甚宽频带地震计和高精度数据采集器）第三次招标公开招标公告,一带一路地震监测台网项目火山台阵分系统——火山次声监测系统（浅井式甚宽频带地震计和高精度数据采集器）,货物/专用设备/专用仪器仪表/地震专用仪器,吉林省地震局,长春市,2022年01月21日  09:37,"2022年01月21日至2022年01月28日, 每日上午:9:00 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥600,本项目不进行现场出售标书，仅通过公对公账户转账进行网上购买（不接受个人汇款）。,2022年02月17日  09:30,北京市西直门外大街6号中仪大厦六层618会议室。,￥378.000000万元（人民币）,苏红,010-88316072,吉林省长春市净月大街5788号,宣立成  0431-84538657,中国仪器进出口集团有限公司,北京市西直门外大街6号中仪大厦615室,苏红 010-88316072,20220121火山台阵分系统——火山次声监测系统（浅井式甚宽频带地震计和高精度数据采集器）第三次招标19CNIC021708193-41招标公告-.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543159.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543159.htm
银保监会办公楼办公区域物业服务采购项目招标公告,银保监会办公楼办公区域物业服务采购项目,,中国银保监会,市辖区,2022年01月21日  09:49,"2022年01月19日至2022年02月14日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月15日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥3456.000000万元（人民币）,徐婧婧,010-83084953,北京市西城区金融大街甲15号,010-66278622,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543106.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543106.htm
国家税务总局乌鲁木齐高新技术产业开发区（新市区）税务局物业与食堂管理外包服务项目公开招标公告,国家税务总局乌鲁木齐高新技术产业开发区（新市区）税务局物业与食堂管理外包服务项目,服务/房地产服务/物业管理服务,国家税务总局乌鲁木齐高新技术产业开发区（新市区）税务局,新疆维吾尔自治区,2022年01月21日  12:29,"2022年01月24日至2022年01月28日, 每日上午:11:00 至 14:00  下午:14:00 至 19:00（北京时间，法定节假日除外）",￥300,新疆乌鲁木齐市南昌路177号新疆煤炭设计研究院资料楼4-9。,2022年02月14日  11:00,新疆乌鲁木齐市南昌路177号新疆煤炭设计研究院4楼401会议室,￥385.957200万元（人民币）,付晓宁,0991-6992579,新疆乌鲁木齐市北京南路高新街南一巷51号,王雪 0991-3848907,新疆煤炭设计研究院有限责任公司,新疆乌鲁木齐市南昌路177号,王瑞娟 15099338342 0991-4513695  468023524@qq.com,招标公告定稿（国家税务总局乌鲁木齐高新技术产业开发区（新市区）税务局物业与食堂管理外包服务项目）.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543928.htm,附件（中小微企业声明函）.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543928.htm
山东省消防救援总队2021年度全省部门集中采购装备物资项目（八）公开招标公告-二次,山东省消防救援总队2021年度全省部门集中采购装备物资项目（八）,货物/其他货物/其他不另分类的物品,济宁市消防救援支队,山东省,2022年01月21日  12:48,"2022年01月24日至2022年01月28日, 每日上午:8:30 至 11:30  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥500,济南高新区舜华南路汉峪金谷A2区4栋23楼2302室,2022年02月14日  09:30,山东省济南高新区舜华南路汉峪金谷A2地块4号楼24层开标厅。,￥117.149500万元（人民币）,郭老师,0531-55516892,济宁市消防救援支队地址济宁市金宇路56号,付老师   0537-2568818,山东善誉招标咨询有限公司,济南市高新区舜华南路汉峪金谷A2区4栋23楼2302室　,郭老师  0531-55516892,采购需求.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543983.htm,报名登记表.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543983.htm
中国劳动关系学院图书与电子资源购置—中文电子资源购置公开招标公告,中国劳动关系学院图书与电子资源购置—中文电子资源购置,货物/图书和档案/其他图书、档案,中国劳动关系学院,北京市,2022年01月21日  10:33,"2022年01月21日至2022年01月28日, 每日上午:9:00 至 11:30  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥300,北京市海淀区四季青常青路和泓四季6号楼国信招标一层,2022年02月16日  09:30,北京市海淀区四季青常青路和泓四季6号楼国信招标会议室,￥187.000000万元（人民币）,"史晨洁,赵蒙",15810226803,北京市海淀区增光路45号,刘老师，010-88561791,国信国际工程咨询集团股份有限公司,北京市海淀区常青路和泓四季6号楼,史晨洁，赵蒙 15810226803,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543316.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543316.htm
国家税务总局齐齐哈尔市龙沙区税务局劳务派遣项目公开招标公告,国家税务总局齐齐哈尔市龙沙区税务局劳务派遣项目 ,服务/其他服务,国家税务总局齐齐哈尔市龙沙区税务局,龙沙区,2022年01月21日  10:49,"2022年01月24日至2022年01月28日, 每日上午:9:00 至 11:00  下午:14:00 至 16:00（北京时间，法定节假日除外）",￥0,齐齐哈尔市龙沙区劳卫路12号,2022年02月14日  09:30,齐齐哈尔市龙沙区劳卫路12号,￥178.000000万元（人民币）,温先生,0452-2211987,龙沙区卜奎南大街279号国家税务总局齐齐哈尔市龙沙区税务局主楼,马先生,黑龙江建平建设工程项目管理有限公司,齐齐哈尔市龙沙区劳卫路12号,温先生 0452-2211987,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543550.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543550.htm
全国人大会议中心会议中心北戴河七号楼综合维修改造中央空调设备采购项目公开招标公告（第三次）,会议中心北戴河七号楼综合维修改造中央空调设备采购项目,"工程/建筑安装工程/通风和空调设备安装,货物/通用设备/机械设备/制冷空调设备/其他制冷空调设备,货物/通用设备/机械设备/制冷空调设备/空调机组",全国人大会议中心,北京市,2022年01月21日  11:09,"2022年01月24日至2022年01月28日, 每日上午:8:00 至 11:30  下午:12:00 至 16:00（北京时间，法定节假日除外）",￥0,本项目通过网络方式获取文件。,2022年02月16日  09:00,北京市西城区西交民巷23号四层第五会议室,￥114.390000万元（人民币）,韩首军 郭凯,010-63094886,河北省秦皇岛市北戴河区金旭路五号,0335-4261978,全国人大机关采购中心,北京市西城区西交民巷23号,010-63094886,第三次公开招标公告.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543675.htm,采购项目技术需求.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543675.htm
国家税务总局乌鲁木齐高新技术产业开发区（新市区）税务局安保服务外包项目公开招标公告,国家税务总局乌鲁木齐高新技术产业开发区（新市区）税务局安保服务外包项目,服务/商务服务/安全服务,国家税务总局乌鲁木齐高新技术产业开发区（新市区）税务局,新疆维吾尔自治区,2022年01月21日  12:21,"2022年01月24日至2022年01月28日, 每日上午:11:00 至 14:00  下午:14:00 至 19:00（北京时间，法定节假日除外）",￥300,新疆乌鲁木齐市南昌路177号新疆煤炭设计研究院资料楼4-9。,2022年02月14日  16:00,新疆乌鲁木齐市南昌路177号新疆煤炭设计研究院4楼401会议室,￥220.320000万元（人民币）,付晓宁,0991-6992579,新疆乌鲁木齐市北京南路高新街南一巷51号,王雪 0991-3848907,新疆煤炭设计研究院有限责任公司,新疆乌鲁木齐市南昌路177号,王瑞娟 15099338342 0991-4513695  468023524@qq.com,附件（中小微企业声明函）.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543897.htm,招标公告定稿（国家税务总局乌鲁木齐高新技术产业开发区（新市区）税务局安保服务项目）.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17543897.htm
金山区消防救援支队营房零星维修项目公开招标公告,金山区消防救援支队营房零星维修项目,服务/维修和保养服务/其他维修和保养服务,金山区消防救援支队,金山区,2022年01月21日  13:42,"2022年01月22日至2022年01月26日, 每日上午:9:00 至 12:00  下午:12:00 至 16:00（北京时间，法定节假日除外）",￥500,上海市金山区浦卫公路16299弄金石湾13号楼515室,2022年02月11日  09:30,上海市金山区浦卫公路16299弄金石湾13号楼515室,￥80.000000万元（人民币）,张伟伟,18821070258,金山区沪杭公路8868号,张侹,上海茸淼项目管理咨询有限公司,上海市金山区浦卫公路16299弄金石湾13号楼515室,张伟伟-18821070258,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544194.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544194.htm
中国人民银行沈阳分行第三方评审机构采购项目公开招标公告,中国人民银行沈阳分行第三方评审机构采购项目,服务/工程咨询管理服务/其他工程咨询管理服务,中国人民银行沈阳分行,辽宁省,2022年01月21日  14:02,"2022年01月21日至2022年01月28日, 每日上午:8:00 至 13:30  下午:13:00 至 16:00（北京时间，法定节假日除外）",￥500,辽宁天泓工程项目管理有限公司（沈阳市和平区和平南大街20号玉麟地产B座5楼）,2022年02月11日  09:30,辽宁天泓工程项目管理有限公司5楼会议室（沈阳市和平区和平南大街20号玉麟地产B座5楼）,￥0.000000万元（人民币）,郑小飞,024-23260220,沈阳市沈河区北站路58号,张大凯024-23440095,辽宁天泓工程项目管理有限公司,辽宁省沈阳市和平区和平南大街20号B座5楼,郑小飞024-23260220,公告.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544176.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544176.htm
国家税务总局吉林省税务局数据中心网络设备及域名服务系统改造项目招标公告公开招标公告,国家税务总局吉林省税务局数据中心网络设备及域名服务系统改造项目招标公告,货物/通用设备/计算机设备及软件/计算机网络设备/负载均衡设备,国家税务总局吉林省税务局,长春市,2022年01月21日  14:06,"2022年01月24日至2022年01月28日, 每日上午:9:00 至 11:00  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥0,国家税务总局吉林省税务局三楼政府采购接待室,2022年02月21日  09:00,长春市南湖大路1518号吉林省税务局三楼开标室,￥230.000000万元（人民币）,罗立权 ,0431-80500300,长春市南湖大路1518号,罗立权 0431-80500300  ,详见公告正文,详见公告正文,详见公告正文,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544264.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544264.htm
《金融研究》物流服务采购项目公开招标公告,《金融研究》物流服务采购项目,服务/其他服务,中国人民银行金融研究所,北京市,2022年01月21日  14:07,"2022年01月24日至2022年01月28日, 每日上午:9:00 至 11:00  下午:14:00 至 16:00（北京时间，法定节假日除外）",￥0,"北京市西城区金融街35号,国际企业大厦B座5层501",2022年02月16日  14:00,北京市西城区金融大街33号通泰大厦C座911室,￥162.000000万元（人民币）,王女士、张先生,66195573、66194046,北京市西城区成方街33号2号楼,黄女士  010-66195397,中国人民银行集中采购中心,"北京市西城区金融街35号,国际企业大厦B座5层501",王女士、张先生  66195573  66194046,《金融研究》物流服务采购需求.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544198.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544198.htm
上海交通大学李政道研究所低温样品解离台国际公开招标公告（重招）,上海交通大学李政道研究所低温样品解离台,货物/通用设备/仪器仪表/分析仪器/物理特性分析仪器及校准仪器,上海交通大学,上海市,2022年01月21日  15:05,"2022年01月21日至2022年01月28日, 每日上午:9:30 至 11:30  下午:13:00 至 16:00（北京时间，法定节假日除外）",￥500,上海市共和新路1301号C座110室,2022年02月14日  09:30,上海市共和新路1301号C座111室,￥180.000000万元（人民币）,林佳文、吴乾清,86-21-26065286、86-21-26065275,上海市东川路800号,章老师 86-21-54747172，技术联系人：袁老师 86-13023243456,上海中招招标有限公司,上海市共和新路1301号C座110室,林佳文、吴乾清 86-21-26065286、86-21-26065275、lins32@126.com,购买标书登记表（国际标）.xlsx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544729.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544729.htm
国家税务总局菏泽市税务局中华路办公区物业服务采购项目公开招标公告,国家税务总局菏泽市税务局中华路办公区物业服务采购项目,服务/房地产服务/物业管理服务,国家税务总局菏泽市税务局,牡丹区,2022年01月21日  15:16,"2022年01月24日至2022年01月28日, 每日上午:8:30 至 11:30  下午:14:00 至 17:30（北京时间，法定节假日除外）",￥300,山东东盛建设项目管理有限公司三楼招标大厅（菏泽市长江西路龙泽花园西侧物业楼）,2022年02月18日  09:30,山东东盛建设项目管理有限公司二楼开标室（菏泽市长江西路龙泽花园西侧物业楼）,￥98.000000万元（人民币）,王振刚,0530-5192131,山东省菏泽市菏泽市长江路966号,王振刚  0530-5192131,山东东盛建设项目管理有限公司,菏泽市长江西路龙泽花园办公楼三楼,范蓓   0530-3625810,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544864.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544864.htm
国家铁路局信息中心 信息化项目集成 国家铁路局“互联网+监管”系统（一期）项目集成服务招标公告,国家铁路局信息中心 信息化项目集成 国家铁路局“互联网+监管”系统（一期）项目集成服务,,国家铁路局信息中心,市辖区,2022年01月21日  15:22,"2022年01月10日至2022年02月10日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月11日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥1944.800000万元（人民币）,刘士伟,010-55602803,北京市复兴路6号院,010-51892365,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544650.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544650.htm
北京医院医疗责任保险项目公开招标公告,北京医院医疗责任保险项目,服务/金融服务/保险服务/其他保险服务,北京医院,北京市,2022年01月21日  15:23,"2022年01月24日至2022年02月09日, 每日上午:9:00 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥800,北京市阜成门外大街1号四川大厦西楼21层2102B室,2022年02月16日  09:30,北京西城区阜成门外大街1号四川大厦西塔楼4层402会议室。接收投标文件时间：2022年2月16日8:30-9:30（北京时间）。,￥180.000000万元（人民币）,李杭、邵炜、张曌明、李子豪,010-68991205、68991925、86433015,北京市东城区东单大华路1号,010-85138626,中国机械进出口(集团)有限公司,北京市西城区阜成门外大街1号四川大厦西楼21层,李杭、邵炜、张曌明、李子豪  电话：010-68991205、68991925、86433015,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544677.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17544677.htm
中国浦东干部学院绿化养护服务公开招标公告（重新招标）,中国浦东干部学院绿化养护服务,服务/公共设施管理服务/园林绿化管理服务,中国浦东干部学院,上海市,2022年01月21日  18:49,"2022年01月21日至2022年01月28日, 每日上午:9:00 至 12:00  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥0,线上获取（www.365trade.com.cn）,2022年02月11日  09:30,线上开标,￥200.000000万元（人民币）,王圣英,010-61954117,上海市浦东新区前程路99号,蔡老师 021-28288754,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦910A,王圣英 010-61954117,采购需求.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17546825.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17546825.htm
中国农业科学院上海兽医研究所脉动真空灭菌器公开招标公告,脉动真空灭菌器,货物/专用设备/医疗设备/消毒灭菌设备及器具,中国农业科学院上海兽医研究所,上海市,2022年01月21日  19:50,"2022年01月21日至2022年01月28日, 每日上午:9:30 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥600,上海市共和新路1301号C座110室，上海中招招标有限公司。,2022年02月15日  09:30,上海市共和新路1301号C座111会议室,￥80.000000万元（人民币）,朱昌丽,021-26065284、021-26065280,上海市闵行区紫月路518号,翟老师 021-34293522,上海中招招标有限公司,上海市共和新路1301号C座110室,朱昌丽 021-26065284、021-26065280 2531947599@qq.com、zhuchangliv@sina.cn,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17546932.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17546932.htm
北京大学第一医院辅助项目（护理员、协管员）服务采购项目公开招标公告,北京大学第一医院辅助项目（护理员、协管员）服务采购项目,服务/医疗卫生和社会服务/医疗卫生服务/其他医疗卫生服务,北京大学第一医院,北京市,2022年01月21日  20:02,"2022年01月21日至2022年01月28日, 每日上午:9:00 至 11:30  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥500,本项目招标文件采用网上审批下载电子版本方式和纸质招标文件同时发放方式,2022年02月11日  09:30,北京市丰台区西三环南路14号院首科大厦A座4层405号中国通用咨询投资有限公司会议中心,￥1753.240000万元（人民币）,强文晓、孙薇,010-63348541,北京市西城区西什库大街8号,王老师  010-83572008,中技国际招标有限公司,北京市丰台区西三环中路90号通用技术大厦1101室,强文晓、孙薇 010－63348541,招标公告.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17546944.htm,采购需求.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220121_17546944.htm
山东省消防救援总队2021年度全省部门集中采购装备物资项目（七）（二次）公开招标公告,山东省消防救援总队2021年度全省部门集中采购装备物资项目（七）,货物/通用设备/车辆/专用车辆/消防车,山东省消防救援总队,市辖区,2022年01月22日  11:51,"2022年01月24日至2022年01月28日, 每日上午:8:30 至 12:00  下午:13:30 至 17:30（北京时间，法定节假日除外）",￥300,山东省潍坊市高新区健康东街9969号富潍大厦B座607,2022年02月14日  14:00,山东省潍坊市高新区健康东街9969号富潍大厦B座612会议室,￥100.000000万元（人民币）,董先生,0536-8889360,潍坊市奎文区泰祥街9000号,刘先生  0536-3082056,潍坊华成项目管理咨询有限公司,潍坊市高新区健康东街9969号,董先生  0536-8889360,获取招标文件信息.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220122_17547436.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220122_17547436.htm
国家税务总局盘锦市税务局劳务派遣采购项目公开招标公告（三次）,国家税务总局盘锦市税务局劳务派遣采购项目,服务/其他服务,国家税务总局盘锦市税务局,盘锦市,2022年01月22日  16:53,"2022年01月22日至2022年02月11日, 每日上午:8:30 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥500,辽宁省盘锦市兴隆台区石油大街141号12楼1205室,2022年03月01日  09:00,辽宁省盘锦市兴隆台区石油大街141号11楼1101室,￥211.866100万元（人民币）,马工,15804274266,盘锦市兴隆台区惠宾大街,王科长0427-2380200,辽宁万宸项目管理有限公司,辽宁省盘锦市兴隆台区石油大街141号12楼1205室,马工15804274266,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220122_17547560.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220122_17547560.htm
国家税务总局德州市税务局12366纳税缴费服务热线购买服务项目公开招标公告,国家税务总局德州市税务局12366纳税缴费服务热线购买服务项目,服务/信息技术服务/呼叫中心服务,国家税务总局德州市税务局,德州市,2022年01月23日  17:03,"2022年01月24日至2022年01月28日, 每日上午:8:30 至 12:00  下午:12:30 至 17:00（北京时间，法定节假日除外）",￥300,济南市经十路5777号万科金域中心A座2803室,2022年02月14日  09:30,济南市经十路5777号万科金域中心A座28楼开标室,￥31.800000万元（人民币）,苏靖超,0534-2383568,德州市湖滨中大道1118号,苏靖超  0534-2383568,山东广信招标有限责任公司,济南市经十路5777号万科金域中心A座2803室,孙祥波、于思凡0531-67800156,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220123_17547897.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220123_17547897.htm
