职位名称,发布时间,薪资待遇,学历要求,公司名称,公司现状
python开发工程师[北京·永顺],14:10发布,20k-30k,经验1-3年 / 本科,青藤云安全,信息安全 / C轮 / 500-2000人
python爬虫工程师[深圳·宝安区],14:09发布,14k-19k,经验3-5年 / 大专,星意美,"软件开发,数据服务 / 未融资 / 15-50人"
python后端开发工程师[深圳·南山区],14:09发布,15k-30k,经验3-5年 / 本科,深度赋智,"软件服务｜咨询,人工智能服务 / 天使轮 / 50-150人"
Python 高级研发工程师[杭州·滨江区],14:09发布,16k-25k,经验1-3年 / 本科,达西,"软件服务｜咨询,数据服务｜咨询 / 不需要融资 / 150-500人"
Python开发工程师[上海·闵行区],14:09发布,20k-40k,经验3-5年 / 本科,走走中国,工具类产品 / 不需要融资 / 50-150人
软件开发工程师（python）[北京·展览路],14:07发布,25k-50k,经验5-10年 / 本科,昆仑数智,"IT技术服务｜咨询,信息安全,软件服务｜咨询 / 不需要融资 / 2000人以上"
python工程师[武汉·光谷],14:07发布,22k-35k,经验3-5年 / 不限,夜莺科技,企业服务 / B轮 / 500-2000人
JAVA/Python开发工程师（北京）[北京·海淀区],15:11发布,15k-25k,经验1-3年 / 本科,高登世德金融,"软件服务｜咨询,数据服务｜咨询,科技金融 / B轮 / 50-150人"
python实习生[上海·陆家嘴],14:12发布,3k-5k,经验在校/应届 / 本科,威廉欧奈尔中国,"移动互联网,金融 / 未融资 / 15-50人"
python开发工程师[北京·立水桥],14:07发布,25k-40k,经验3-5年 / 本科,快狗打车,"移动互联网,消费生活 / 不需要融资 / 500-2000人"
Python开发工程师[广州·客村],14:06发布,10k-20k,经验1-3年 / 本科,爱范儿,营销服务｜咨询 / 不需要融资 / 150-500人
Python AI开发工程师[深圳·龙岗区],14:06发布,15k-25k,经验3-5年 / 本科,音智达,"数据服务｜咨询,IT技术服务｜咨询 / 未融资 / 500-2000人"
python开发工程师[北京·海淀区],14:05发布,12k-20k,经验3-5年 / 本科,华风爱科,工具类产品 / 不需要融资 / 15-50人
高级python开发工程师[北京·北苑],14:05发布,20k-40k,经验3-5年 / 本科,北京雷石公司,移动互联网 / A轮 / 150-500人
python开发工程师[北京·西三旗],14:02发布,20k-30k,经验1-3年 / 本科,乐信圣文,游戏 / 不需要融资 / 150-500人
python高级开发工程师[广州·天河区],14:00发布,7k-14k,经验1-3年 / 大专,发业财务,企业服务 / 不需要融资 / 50-150人
python开发工程师[深圳·东门],14:00发布,16k-20k,经验5-10年 / 大专,博奥特科技,"IT技术服务｜咨询,软件服务｜咨询 / 未融资 / 500-2000人"
python开发工程师[深圳·新洲],13:59发布,12k-15k,经验1-3年 / 本科,贝猎,"工具类产品,信息安全,专业服务｜咨询 / 上市公司 / 2000人以上"
Python软件开发工程师[北京·来广营],13:59发布,15k-30k,经验3-5年 / 本科,慧点科技,企业服务 / 不需要融资 / 500-2000人
python工程师[北京·鼓楼],13:58发布,8k-10k,经验1-3年 / 本科,中工网,内容资讯 / 未融资 / 50-150人
python开发工程师[上海·张江],13:54发布,12k-20k,经验3-5年 / 大专,达观数据,"人工智能服务,数据服务｜咨询 / C轮 / 500-2000人"
python开发工程师[北京·朝阳区],13:43发布,20k-40k,经验不限 / 本科,菠萝踏歌智能,人工智能服务 / 天使轮 / 少于15人
Python开发工程师[广州·客村],14:06发布,20k-30k,经验3-5年 / 本科,爱范儿,营销服务｜咨询 / 不需要融资 / 150-500人
python开发工程师-校招[北京·西三旗],14:02发布,15k-25k,经验在校/应届 / 本科,乐信圣文,游戏 / 不需要融资 / 150-500人
python开发工程师（北京校招）[北京·来广营],13:59发布,10k-18k,经验在校/应届 / 硕士,慧点科技,企业服务 / 不需要融资 / 500-2000人
Python开发工程师[广州·天河区],13:58发布,5k-10k,经验不限 / 大专,发业财务,企业服务 / 不需要融资 / 50-150人
python开发工程师[苏州·相城区],13:54发布,10k-18k,经验3-5年 / 大专,达观数据,"人工智能服务,数据服务｜咨询 / C轮 / 500-2000人"
python后端开发工程师[深圳·大冲],13:43发布,12k-20k,经验1-3年 / 本科,翼果科技,数据服务 / 不需要融资 / 50-150人
python数据分析师[上海·静安区],13:41发布,12k-16k,经验1-3年 / 本科,宏慧网络,"数据服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 15-50人"
Python培训讲师/课程开发[北京·石景山区],13:37发布,8k-15k,经验1-3年 / 本科,中教畅享,在线教育 / 不需要融资 / 150-500人
python后端开发工程师[北京·中关村],13:32发布,20k-40k,经验1-3年 / 本科,深尚科技,"企业服务,人工智能 / 天使轮 / 50-150人"
python开发工程师[杭州·西湖区],13:29发布,15k-30k,经验3-5年 / 本科,涂鸦智能,"物联网,智能硬件 / 上市公司 / 2000人以上"
python开发工程师[成都·神仙树],13:29发布,8k-12k,经验1-3年 / 本科,创立科技,物联网 / 上市公司 / 500-2000人
python开发工程师[杭州·西兴],13:28发布,15k-25k,经验3-5年 / 本科,亿咖通科技,智能硬件 / B轮 / 2000人以上
软件工程师（C++/ Python 机器人智能 校招/社招）[北京·西三旗],13:27发布,18k-35k,经验不限 / 本科,迁移科技,智能硬件 / A轮 / 50-150人
python开发工程师[上海·徐汇区],13:24发布,13k-18k,经验3-5年 / 本科,上海江煦信息科技,软件服务｜咨询 / 不需要融资 / 15-50人
高级python开发工程师(J10353)[长沙·岳麓区],13:20发布,18k-30k,经验3-5年 / 本科,华锐金融技术,"IT技术服务｜咨询,软件服务｜咨询 / C轮 / 500-2000人"
python开发实习生[北京·海淀区],13:54发布,5k-8k,经验在校/应届 / 本科,达观数据,"人工智能服务,数据服务｜咨询 / C轮 / 500-2000人"
python工程师[深圳·大冲],13:43发布,12k-20k,经验1-3年 / 本科,翼果科技,数据服务 / 不需要融资 / 50-150人
python后端开发工程师[杭州·西湖区],13:29发布,15k-30k,经验1-3年 / 本科,涂鸦智能,"物联网,智能硬件 / 上市公司 / 2000人以上"
python后端开发工程师[上海·杨浦区],13:14发布,16k-30k,经验3-5年 / 本科,源杉FIR.ai,"工具类产品,人工智能服务 / 不需要融资 / 15-50人"
高级后端开发工程师/ python开发工程师[北京·大兴区],13:12发布,20k-40k,经验3-5年 / 本科,优解未来,"软件服务｜咨询,人工智能服务,物联网 / 天使轮 / 15-50人"
python爬虫工程师[成都·高新区],13:06发布,12k-20k,经验3-5年 / 本科,购商云汇,电商 / 不需要融资 / 50-150人
python开发工程师[广州·天河区],13:03发布,8k-15k,经验不限 / 本科,德科信息,物联网 / 不需要融资 / 2000人以上
python工程师[上海·静安区],12:58发布,20k-40k,经验3-5年 / 本科,品览Pinlan,"人工智能服务,IT技术服务｜咨询 / A轮 / 150-500人"
Python开发工程师[杭州·西溪],12:19发布,8k-13k,经验不限 / 本科,云迪互联,"软件服务｜咨询,IT技术服务｜咨询,教育｜培训 / 未融资 / 15-50人"
python开发工程师[西安·雁塔区],12:17发布,20k-35k,经验5-10年 / 本科,北京盛安德,"移动互联网,企业服务 / 不需要融资 / 150-500人"
算法工程-Go/Python后端开发(J10997)[上海·张江],12:09发布,35k-60k,经验3-5年 / 本科,叮咚买菜,消费生活 / 上市公司 / 2000人以上
python/爬虫工程师[深圳·大冲],12:05发布,12k-19k,经验3-5年 / 大专,同和科技,"移动互联网,金融 / 不需要融资 / 500-2000人"
python爬虫工程师[北京·海淀区],11:58发布,15k-30k,经验5-10年 / 大专,千里马,专业服务｜咨询 / 不需要融资 / 500-2000人
python开发工程师[武汉·鲁巷],11:55发布,11k-20k,经验1-3年 / 本科,上海望繁信科技有限公司,"人工智能服务,IT技术服务｜咨询,软件服务｜咨询 / A轮 / 50-150人"
JAVA/python/C++编程讲师（上市公司+五险一金）[烟台·毓璜顶],11:47发布,10k-15k,经验不限 / 本科,童程童美,教育 / 上市公司 / 2000人以上
python开发实习生[北京·海淀区],13:54发布,5k-8k,经验在校/应届 / 本科,达观数据,"人工智能服务,数据服务｜咨询 / C轮 / 500-2000人"
python工程师[深圳·大冲],13:43发布,12k-20k,经验1-3年 / 本科,翼果科技,数据服务 / 不需要融资 / 50-150人
python后端开发工程师[杭州·西湖区],13:29发布,15k-30k,经验1-3年 / 本科,涂鸦智能,"物联网,智能硬件 / 上市公司 / 2000人以上"
python后端开发工程师[上海·杨浦区],13:14发布,16k-30k,经验3-5年 / 本科,源杉FIR.ai,"工具类产品,人工智能服务 / 不需要融资 / 15-50人"
高级后端开发工程师/ python开发工程师[北京·大兴区],13:12发布,20k-40k,经验3-5年 / 本科,优解未来,"软件服务｜咨询,人工智能服务,物联网 / 天使轮 / 15-50人"
python爬虫工程师[成都·高新区],13:06发布,12k-20k,经验3-5年 / 本科,购商云汇,电商 / 不需要融资 / 50-150人
python开发工程师[广州·天河区],13:03发布,8k-15k,经验不限 / 本科,德科信息,物联网 / 不需要融资 / 2000人以上
python工程师[上海·静安区],12:58发布,20k-40k,经验3-5年 / 本科,品览Pinlan,"人工智能服务,IT技术服务｜咨询 / A轮 / 150-500人"
Python开发工程师[杭州·西溪],12:19发布,8k-13k,经验不限 / 本科,云迪互联,"软件服务｜咨询,IT技术服务｜咨询,教育｜培训 / 未融资 / 15-50人"
python开发工程师[西安·雁塔区],12:17发布,20k-35k,经验5-10年 / 本科,北京盛安德,"移动互联网,企业服务 / 不需要融资 / 150-500人"
算法工程-Go/Python后端开发(J10997)[上海·张江],12:09发布,35k-60k,经验3-5年 / 本科,叮咚买菜,消费生活 / 上市公司 / 2000人以上
python/爬虫工程师[深圳·大冲],12:05发布,12k-19k,经验3-5年 / 大专,同和科技,"移动互联网,金融 / 不需要融资 / 500-2000人"
python爬虫工程师[北京·海淀区],11:58发布,15k-30k,经验5-10年 / 大专,千里马,专业服务｜咨询 / 不需要融资 / 500-2000人
python开发工程师[武汉·鲁巷],11:55发布,11k-20k,经验1-3年 / 本科,上海望繁信科技有限公司,"人工智能服务,IT技术服务｜咨询,软件服务｜咨询 / A轮 / 50-150人"
JAVA/python/C++编程讲师（上市公司+五险一金）[烟台·毓璜顶],11:47发布,10k-15k,经验不限 / 本科,童程童美,教育 / 上市公司 / 2000人以上
